Country,HottestYear,HottestTemp,ColdestYear,ColdestTemp
Afghanistan,1997,28.533,2008,-4.552999999999999
Africa,2010,27.126,1861,19.523
Albania,1757,25.843000000000004,1942,-2.0489999999999995
Algeria,2003,35.829,1813,9.526000000000002
American Samoa,2003,28.543000000000003,1915,24.712
Andorra,2003,24.313,1766,-0.924
Angola,2005,25.17,1932,17.227
Anguilla,2005,29.636,1887,23.241
Antigua And Barbuda,2005,29.328000000000003,1887,23.158
Argentina,2012,23.29,1916,4.795999999999999
Armenia,2006,25.291,1813,-10.275
Aruba,2009,30.792,1887,24.123
Asia,2010,22.635,1838,-11.357
Australia,2013,29.861,1891,12.529000000000002
Austria,1992,20.081,1956,-11.077000000000002
Azerbaijan,2006,26.676,1972,-5.989
Bahamas,1798,30.176,1759,18.17
Bahrain,2012,37.471,1911,12.16
Baker Island,1998,28.032,1839,23.297
Bangladesh,1979,29.794,1819,14.788
Barbados,2005,29.045,1887,23.714
Belarus,2010,22.811,1929,-16.527
Belgium,2006,22.837,1956,-6.0790000000000015
Belize,1980,28.915,1839,19.717
Benin,2010,31.717,1890,22.772
Bhutan,2009,19.312,1819,0.976
Bolivia,2008,24.508000000000003,1952,15.877
"Bonaire, Saint Eustatius And Saba",2009,29.929,1887,23.601
Bosnia And Herzegovina,2003,24.038,1942,-6.528999999999999
Botswana,1972,28.860000000000007,1968,12.574000000000002
Brazil,2009,27.151,1921,21.797
British Virgin Islands,2005,29.327,1887,22.945
Bulgaria,2012,25.063,1929,-6.903
Burkina Faso,1998,33.666,1889,22.922
Burma,1979,28.485000000000007,1819,16.095
Burundi,1997,22.697,1860,17.62
Cambodia,1998,30.43,1918,21.896
Cameroon,2010,27.722,1887,21.718000000000004
Canada,2012,14.796,1911,-28.736
Cape Verde,2001,28.415,1891,20.008
Cayman Islands,2009,30.188,1852,21.167
Central African Republic,2005,29.871,1860,22.473000000000003
Chad,1998,33.415,1983,18.099
Chile,1983,15.493,1875,3.2060000000000004
China,2010,21.043000000000003,1838,-11.732
Christmas Island,2002,27.977,1929,23.879
Colombia,1998,27.205,1828,22.918000000000006
Comoros,1998,28.649,1792,22.509
Congo,1998,27.109,1858,21.804
Congo (Democratic Republic Of The),2005,26.193,1860,21.704
Costa Rica,1998,28.857,1889,22.992
Croatia,2003,25.508000000000003,1942,-5.806
