Year,AverageTemperature
1743,5.18414
1744,9.8378975
1745,1.3871250000000002
1750,9.129352727272728
1751,9.1673875
1752,4.413386666666667
1753,8.87082075471698
1754,8.822018957345971
1755,8.530536277602524
1756,9.17988625592417
1757,8.993332283464566
1758,8.130370542635658
1759,9.261257716049382
1760,8.53208176100629
1761,8.940669242658425
1762,8.517924148606811
1763,8.086262422360248
1764,8.845587869362364
1765,8.503952086553323
1766,8.620333333333333
1767,8.208010819165379
1768,7.875816964285714
1769,8.441631964809384
1770,8.608895454545454
1771,8.429763636363637
1772,9.105813271604939
1773,9.080228310502283
1774,8.403788109756098
1775,9.307762589928059
1776,8.210426491994177
1777,8.102558739255015
1778,8.707566568047337
1779,9.2313174366617
1780,8.83174251497006
1781,9.095413742690058
1782,7.793591630591631
1783,8.957380809595202
1784,7.977893939393939
1785,7.753425149700598
1786,7.96315625
1787,10.600193333333333
1788,9.915709141274238
1789,10.551814578005116
1790,10.938674934725848
1791,11.380044554455447
1792,10.512480964467006
1793,9.630539215686275
1794,10.270525730180806
1795,9.371622881355933
1796,10.280041184041183
1797,10.550860313315926
1798,10.791231578947368
1799,9.863822164948454
1800,10.804132051282052
1801,11.027885416666665
1802,10.979875324675326
1803,10.936170370370371
1804,11.715498203592816
1805,9.699310299869621
1806,10.8096328125
1807,10.411802371541501
1808,8.955127688172043
1809,9.432465601965601
1810,9.389049751243782
1811,10.157996389891697
1812,8.402495412844036
1813,9.956951807228915
1814,9.360688282138794
1815,9.67844994375703
1816,9.508635179153094
1817,10.228215885947048
1818,10.578874739039666
1819,11.0028406374502
1820,10.45514674441205
1821,11.076848256361922
1822,11.37343282149712
1823,10.52201809954751
1824,14.400542545454545
1825,15.753609217171718
1826,14.497344460227275
1827,14.845123955431756
1828,14.639854456824514
1829,13.561706676136366
1830,11.284793439716312
1831,11.146712897526502
1832,10.553762152777777
1833,11.032854166666667
1834,11.491121464226289
1835,11.384895931142411
1836,11.203054794520549
1837,11.15652111553785
1838,11.286937788018435
1839,12.245916972814106
1840,12.499997218358832
1841,12.842211643835617
1842,12.758690393918453
1843,13.527123610202748
1844,12.568981632653063
1845,14.269233015494637
1846,15.671088774341353
1847,14.946831609195403
1848,15.14117893544734
1849,16.125550925925925
1850,16.86025909090909
1851,16.761128254580523
1852,15.831357406431207
1853,16.030668002003004
1854,16.124288279301744
1855,16.138632594021214
1856,16.885113224237063
1857,16.744694468452895
1858,17.081381213142375
1859,17.686984337349397
1860,17.111546093427037
1861,17.19958470394737
1862,16.013586925627664
1863,16.426328928739974
1864,16.7286143707483
1865,16.577466574458278
1866,16.36495131086142
1867,16.44776579068695
1868,16.93685211581292
1869,17.021076
1870,16.606714603739984
1871,16.143479502533395
1872,16.69826518312471
1873,17.25198496563574
1874,17.34341467436109
1875,17.37470145259939
1876,17.75928045112782
1877,18.00654232804233
1878,18.342224736048266
1879,17.369740291262136
1880,17.735369770071618
1881,17.736361367127497
1882,17.813810790273557
1883,17.98762486248625
1884,17.773038162282326
1885,17.676919330289195
1886,17.935256578947367
1887,17.814221815519765
1888,17.71715990990991
1889,18.138997806215723
1890,18.060208779443254
1891,18.19210734463277
1892,18.215350988700568
1893,18.135379943502826
1894,18.245692334864007
1895,18.250661996497374
1896,18.341112044817926
1897,18.477700773558368
1898,18.376058409570724
1899,18.44215869106263
1900,18.514535638673255
1901,18.49119317382125
1902,18.32801123201123
1903,18.43477083333333
1904,18.211075
